,Subject,Condition,FFARepEnhancement,FFARepSuppression,PPARepEnhancement,PPARepSuppression
0,106,IFG,0.170027047396,0.573253601789,0.07843542099,-0.0672443509102
1,107,IFG,0.0292970538139,0.0253641605377,0.0114358663559,0.00359660387039
2,108,IFG,0.0756365060806,0.148749470711,0.0806977152824,-0.100315272808
3,109,IFG,0.0358446836472,-0.0864872336388,0.716630458832,0.215658217669
4,110,IFG,0.0831005573273,0.0719863176346,0.0948832035065,-0.0566889047623
5,111,IFG,0.0965097546577,-0.475612163544,0.144001483917,-0.0431101918221
6,112,IFG,-0.0130378976464,0.294214196503,0.235612124205,-0.00963425636292
7,113,IFG,0.0649241805077,0.103900015354,0.187266528606,-0.0252335071564
8,114,IFG,-0.0290932655334,-0.0331904292107,-0.0241622328758,-0.14486271143
9,115,IFG,-0.0729011893272,0.0137585401535,0.0652002096176,-0.00650078058243
10,116,IFG,-1.57542127371,-0.000807583332062,0.0135163664818,-0.0436410307884
11,118,IFG,0.170995622873,0.442900747061,0.0604980587959,0.122143447399
